Name,State,Distance to the Capital (Km),Total Population,Total Area,Density,HDI,URL
Aricanduva,Minas Gerais,419,4719 hab.,"243,329km²","19,4hab./km²","0,582",https://pt.wikipedia.org/wiki/Aricanduva
Buenópolis,Minas Gerais,272,9150 hab.,"1599,881km²","5,7hab./km²","0,669",https://pt.wikipedia.org/wiki/Buen%C3%B3polis
Bueno Brandão,Minas Gerais,471,11233 hab.,"355,233km²","31,6hab./km²","0,658",https://pt.wikipedia.org/wiki/Bueno_Brand%C3%A3o
Carbonita,Minas Gerais,421,8512 hab.,"1456,095km²","5,8hab./km²","0,638",https://pt.wikipedia.org/wiki/Carbonita
Conceição dos Ouros,Minas Gerais,450,10609 hab.,"182,673km²","58,1hab./km²","0,703",https://pt.wikipedia.org/wiki/Concei%C3%A7%C3%A3o_dos_Ouros
Conceição do Rio Verde,Minas Gerais,320,12950 hab.,"370,040km²",35hab./km²,"0,665",https://pt.wikipedia.org/wiki/Concei%C3%A7%C3%A3o_do_Rio_Verde
Florestal,Minas Gerais,60,7602 hab.,"194,356km²","39,1hab./km²","0,724",https://pt.wikipedia.org/wiki/Florestal
Divinésia,Minas Gerais,297,4226 hab.,"116,970km²","36,1hab./km²","0,724",https://pt.wikipedia.org/wiki/Divin%C3%A9sia
Formoso,Minas Gerais,865,7949 hab.,"3686,004km²","2,2hab./km²","0,695",https://pt.wikipedia.org/wiki/Formoso_(Minas_Gerais)
Formiga,Minas Gerais,196,68248 hab.,"1501,915km²","45,4hab./km²","0,755",https://pt.wikipedia.org/wiki/Formiga_(Minas_Gerais)
Ibitiúra de Minas,Minas Gerais,478,3406 hab.,"68,386km²","49,8hab./km²","0,674",https://pt.wikipedia.org/wiki/Ibiti%C3%BAra_de_Minas
Ibirité,Minas Gerais,22,170537 hab.,"72,395km²","2355,6hab./km²","0,704",https://pt.wikipedia.org/wiki/Ibirit%C3%A9
Ibiraci,Minas Gerais,"424,7",10948 hab.,"562,095km²","19,5hab./km²","0,706",https://pt.wikipedia.org/wiki/Ibiraci
Indaiabira,Minas Gerais,721,6346 hab.,"1004,149km²","6,3hab./km²","0,610",https://pt.wikipedia.org/wiki/Indaiabira
Inconfidentes,Minas Gerais,441,6908 hab.,"149,467km²","46,2hab./km²","0,692",https://pt.wikipedia.org/wiki/Inconfidentes_(Minas_Gerais)
Imbé de Minas,Minas Gerais,313,6986 hab.,"196,735km²","35,5hab./km²","0,553",https://pt.wikipedia.org/wiki/Imb%C3%A9_de_Minas
Ilicínea,Minas Gerais,330,12741 hab.,"376,341km²","33,9hab./km²","0,680",https://pt.wikipedia.org/wiki/Ilic%C3%ADnea
Ijaci,Minas Gerais,310,5863 hab.,"105,387km²","55,6hab./km²","0,738",https://pt.wikipedia.org/wiki/Ijaci
Jaíba,Minas Gerais,622,37660 hab.,"2740,276km²","13,7hab./km²","0,652",https://pt.wikipedia.org/wiki/Ja%C3%ADba
Jaguaraçu,Minas Gerais,185,3124 hab.,"163,76km²","19,1hab./km²","0,679",https://pt.wikipedia.org/wiki/Jaguara%C3%A7u
Jacutinga,Minas Gerais,490,26538 hab.,"347,273km²","76,4hab./km²","0,715",https://pt.wikipedia.org/wiki/Jacutinga_(Minas_Gerais)
Limeira do Oeste,Minas Gerais,810,7436 hab.,"1317,515km²","5,6hab./km²","0,751",https://pt.wikipedia.org/wiki/Limeira_do_Oeste
Lima Duarte,Minas Gerais,295,16671 hab.,"848,089km²","19,7hab./km²","0,739",https://pt.wikipedia.org/wiki/Lima_Duarte_(Minas_Gerais)
Liberdade,Minas Gerais,360,5347 hab.,"402,242km²","13,3hab./km²","0,672",https://pt.wikipedia.org/wiki/Liberdade_(Minas_Gerais)
Leopoldina,Minas Gerais,322,51145 hab.,"943,076km²","54,2hab./km²","0,726",https://pt.wikipedia.org/wiki/Leopoldina_(Minas_Gerais)
Leme do Prado,Minas Gerais,529,4341 hab.,"281,305km²","15,4hab./km²","0,670",https://pt.wikipedia.org/wiki/Leme_do_Prado
Moeda,Minas Gerais,61,5125 hab.,"155,112km²",33hab./km²,"0,733",https://pt.wikipedia.org/wiki/Moeda_(Minas_Gerais)
Miravânia,Minas Gerais,773,4561 hab.,"603,005km²","7,6hab./km²","0,593",https://pt.wikipedia.org/wiki/Mirav%C3%A2nia
Miraí,Minas Gerais,300,14946 hab.,"320,628km²","46,6hab./km²","0,724",https://pt.wikipedia.org/wiki/Mira%C3%AD
Olímpio Noronha,Minas Gerais,354,2533 hab.,"53,930km²",47hab./km²,"0,674",https://pt.wikipedia.org/wiki/Ol%C3%ADmpio_Noronha
Olhos-d'Água,Minas Gerais,414,5385 hab.,"2092,078km²","2,6hab./km²","0,669",https://pt.wikipedia.org/wiki/Olhos-d%27%C3%81gua
Olaria,Minas Gerais,325,1981 hab.,"178,493km²","11,1hab./km²","0,636",https://pt.wikipedia.org/wiki/Olaria_(Minas_Gerais)
Novorizonte,Minas Gerais,664,5273 hab.,"264,076km²",20hab./km²,"0,648",https://pt.wikipedia.org/wiki/Novorizonte
Novo Oriente de Minas,Minas Gerais,515,10275 hab.,"755,151km²","13,6hab./km²","0,582",https://pt.wikipedia.org/wiki/Novo_Oriente_de_Minas
Pequi,Minas Gerais,128,4457 hab.,"204,142km²","21,8hab./km²","0,77",https://pt.wikipedia.org/wiki/Pequi_(Minas_Gerais)
Pequeri,Minas Gerais,314,3335 hab.,"90,929km²","36,7hab./km²","0,746",https://pt.wikipedia.org/wiki/Pequeri
Pedro Teixeira,Minas Gerais,259,1789 hab.,"113,074km²","15,8hab./km²","0,684",https://pt.wikipedia.org/wiki/Pedro_Teixeira_(Minas_Gerais)
Presidente Kubitschek,Minas Gerais,298,3053 hab.,"189,546km²","16,1hab./km²","0,671",https://pt.wikipedia.org/wiki/Presidente_Kubitschek
Presidente Juscelino,Minas Gerais,211,3465 hab.,"695,882km²",5hab./km²,"0,654",https://pt.wikipedia.org/wiki/Presidente_Juscelino_(Minas_Gerais)
Presidente Bernardes,Minas Gerais,187,4850 hab.,"236,798km²","20,5hab./km²","0,699",https://pt.wikipedia.org/wiki/Presidente_Bernardes_(Minas_Gerais)
Santa Helena de Minas,Minas Gerais,682,6055 hab.,"276,918km²","21,9hab./km²","0,594",https://pt.wikipedia.org/wiki/Santa_Helena_de_Minas
Santa Fé de Minas,Minas Gerais,511,3522 hab.,"2916,648km²","1,2hab./km²","0,615",https://pt.wikipedia.org/wiki/Santa_F%C3%A9_de_Minas
Santa Efigênia de Minas,Minas Gerais,277,4039 hab.,"132,183km²","30,6hab./km²","0,667",https://pt.wikipedia.org/wiki/Santa_Efig%C3%AAnia_de_Minas
Prudente de Morais,Minas Gerais,65,9573 hab.,"125,783km²","76,1hab./km²","0,752",https://pt.wikipedia.org/wiki/Prudente_de_Morais_(Minas_Gerais)
Presidente Olegário,Minas Gerais,433,18765 hab.,"3503,848km²","5,4hab./km²","0,701",https://pt.wikipedia.org/wiki/Presidente_Oleg%C3%A1rio
São Tiago,Minas Gerais,187,11517 hab.,"572,400km²","20,1hab./km²","0,727",https://pt.wikipedia.org/wiki/S%C3%A3o_Tiago_(Minas_Gerais)
São Sebastião do Rio Verde,Minas Gerais,422,2300 hab.,"91,893km²",25hab./km²,"0,676",https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_do_Rio_Verde
São Geraldo do Baixio,Minas Gerais,398,3963 hab.,"280,954km²","14,1hab./km²","0,630",https://pt.wikipedia.org/wiki/S%C3%A3o_Geraldo_do_Baixio
São Geraldo da Piedade,Minas Gerais,320,3305 hab.,"152,336km²","21,7hab./km²","0,600",https://pt.wikipedia.org/wiki/S%C3%A3o_Geraldo_da_Piedade
São Geraldo,Minas Gerais,254,10263 hab.,"187,387km²","54,8hab./km²","0,732",https://pt.wikipedia.org/wiki/S%C3%A3o_Geraldo_(Minas_Gerais)
São Francisco do Glória,Minas Gerais,353,4844 hab.,"164,023km²","29,5hab./km²","0,692",https://pt.wikipedia.org/wiki/S%C3%A3o_Francisco_do_Gl%C3%B3ria
São Francisco de Sales,Minas Gerais,692,12000 hab.,"1753,35km²","6,8hab./km²","0,771",https://pt.wikipedia.org/wiki/S%C3%A3o_Francisco_de_Sales_(Minas_Gerais)
São Tomás de Aquino,Minas Gerais,430,7222 hab.,"277,546km²",26hab./km²,"0,700",https://pt.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A1s_de_Aquino_(Minas_Gerais)
Toledo,Minas Gerais,497,7214 hab.,"136,776km²","52,7hab./km²","0,661",https://pt.wikipedia.org/wiki/Toledo_(Minas_Gerais)
Tocos do Moji,Minas Gerais,441,3950 hab.,"114,945km²","34,4hab./km²","0,696",https://pt.wikipedia.org/wiki/Tocos_do_Moji
Teixeiras,Minas Gerais,215,11346 hab.,"166,519km²","68,1hab./km²","0,712",https://pt.wikipedia.org/wiki/Teixeiras
Tocantins,Minas Gerais,268,16567 hab.,"173,994km²","95,2hab./km²","0,762",https://pt.wikipedia.org/wiki/Tocantins_(Minas_Gerais)
Tiradentes,Minas Gerais,190,7744 hab.,"83,047km²","93,2hab./km²","0,740",https://pt.wikipedia.org/wiki/Tiradentes_(Minas_Gerais)
Tiros,Minas Gerais,360,7883 hab.,"2093,160km²","3,8hab./km²","0,683",https://pt.wikipedia.org/wiki/Tiros
Teófilo Otoni,Minas Gerais,450,137418 hab.,"3242,27km²","42,4hab./km²","0,701",https://pt.wikipedia.org/wiki/Te%C3%B3filo_Otoni
Timóteo,Minas Gerais,196,81579 hab.,"144,381km²",565hab./km²,"0,770",https://pt.wikipedia.org/wiki/Tim%C3%B3teo
Virgem da Lapa,Minas Gerais,671,11804 hab.,"868,914km²","13,6hab./km²","0,610",https://pt.wikipedia.org/wiki/Virgem_da_Lapa
Wenceslau Braz,Minas Gerais,465,2356 hab.,"102,487km²",23hab./km²,"0,678",https://pt.wikipedia.org/wiki/Wenceslau_Braz_(Minas_Gerais)
Volta Grande,Minas Gerais,352,5118 hab.,"208,874km²","24,5hab./km²","0,732",https://pt.wikipedia.org/wiki/Volta_Grande
Visconde do Rio Branco,Minas Gerais,292,39160 hab.,"243,351km²","160,9hab./km²","0,709",https://pt.wikipedia.org/wiki/Visconde_do_Rio_Branco_(Minas_Gerais)
Virgolândia,Minas Gerais,311,4552 hab.,"281,541km²","16,2hab./km²","0,667",https://pt.wikipedia.org/wiki/Virgol%C3%A2ndia
Virginópolis,Minas Gerais,270,10314 hab.,"440,424km²","23,4hab./km²","0,717",https://pt.wikipedia.org/wiki/Virgin%C3%B3polis
Virgínia,Minas Gerais,420,8867 hab.,"326,418km²","27,2hab./km²","0,651",https://pt.wikipedia.org/wiki/Virg%C3%ADnia_(Minas_Gerais)
Vieiras,Minas Gerais,329,3700 hab.,"112,691km²","32,8hab./km²","0,668",https://pt.wikipedia.org/wiki/Vieiras
Veredinha,Minas Gerais,496,5773 hab.,"635,262km²","9,1hab./km²","0,632",https://pt.wikipedia.org/wiki/Veredinha
Verdelândia,Minas Gerais,570,8350 hab.,"1451,856km²","5,8hab./km²","0,602",https://pt.wikipedia.org/wiki/Verdel%C3%A2ndia
Vazante,Minas Gerais,520,19975 hab.,"1903,072km²","10,5hab./km²","0,742",https://pt.wikipedia.org/wiki/Vazante
Viçosa,Minas Gerais,230,76430 hab.,"299,418km²","255,3hab./km²","0,775",https://pt.wikipedia.org/wiki/Vi%C3%A7osa_(Minas_Gerais)
Vespasiano,Minas Gerais,27,129246 hab.,"71,040km²","1819,3hab./km²","0,688",https://pt.wikipedia.org/wiki/Vespasiano_(Minas_Gerais)
Varzelândia,Minas Gerais,590,18840 hab.,"814,994km²","23,1hab./km²","0,594",https://pt.wikipedia.org/wiki/Varzel%C3%A2ndia
Vermelho Novo,Minas Gerais,266,4852 hab.,"113,941km²","42,6hab./km²","0,612",https://pt.wikipedia.org/wiki/Vermelho_Novo
Veríssimo,Minas Gerais,524,3411 hab.,"1028,577km²","3,3hab./km²","0,776",https://pt.wikipedia.org/wiki/Ver%C3%ADssimo_(Minas_Gerais)
Vargem Grande do Rio Pardo,Minas Gerais,750,4633 hab.,"491,512km²","9,4hab./km²","0,598",https://pt.wikipedia.org/wiki/Vargem_Grande_do_Rio_Pardo
Vargem Bonita,Minas Gerais,322,"2,158 hab.","409,888km²",0hab./km²,"0,76",https://pt.wikipedia.org/wiki/Vargem_Bonita_(Minas_Gerais)
Vargem Alegre,Minas Gerais,256,6491 hab.,"116,664km²","55,6hab./km²","0,631",https://pt.wikipedia.org/wiki/Vargem_Alegre
Urucuia,Minas Gerais,608,17479 hab.,"2072,340km²","8,4hab./km²","0,619",https://pt.wikipedia.org/wiki/Urucuia
Urucânia,Minas Gerais,256,10291 hab.,"139,182km²","73,9hab./km²","0,693",https://pt.wikipedia.org/wiki/Uruc%C3%A2nia
Várzea da Palma,Minas Gerais,307,39129 hab.,"2195,653km²","17,8hab./km²","0,726",https://pt.wikipedia.org/wiki/V%C3%A1rzea_da_Palma
Varjão de Minas,Minas Gerais,399,6054 hab.,"652,789km²","9,3hab./km²","0,711",https://pt.wikipedia.org/wiki/Varj%C3%A3o_de_Minas
Varginha,Minas Gerais,320,142802 hab.,"395,396km²","361,2hab./km²","0,778",https://pt.wikipedia.org/wiki/Varginha
Uruana de Minas,Minas Gerais,635,3282 hab.,"598,221km²","5,5hab./km²","0,698",https://pt.wikipedia.org/wiki/Uruana_de_Minas
União de Minas,Minas Gerais,668,4325 hab.,"1150,596km²","3,8hab./km²","0,672",https://pt.wikipedia.org/wiki/Uni%C3%A3o_de_Minas
Unaí,Minas Gerais,590,86619 hab.,"8445,432km²","10,3hab./km²","0,736",https://pt.wikipedia.org/wiki/Una%C3%AD
Umburatiba,Minas Gerais,673,2684 hab.,"404,892km²","6,6hab./km²","0,618",https://pt.wikipedia.org/wiki/Umburatiba
Ubaporanga,Minas Gerais,290,12449 hab.,"189,045km²","65,9hab./km²","0,614",https://pt.wikipedia.org/wiki/Ubaporanga
Ubaí,Minas Gerais,506,11708 hab.,"820,524km²","14,3hab./km²","0,651",https://pt.wikipedia.org/wiki/Uba%C3%AD
Uberlândia,Minas Gerais,537,754954 hab.,"4115,206km²","183,5hab./km²","0,789",https://pt.wikipedia.org/wiki/Uberl%C3%A2ndia
Uberaba,Minas Gerais,481,354142 hab.,"4523,957km²","78,3hab./km²","0,772",https://pt.wikipedia.org/wiki/Uberaba
Turmalina,Minas Gerais,480,20000 hab.,"1153,111km²","17,3hab./km²","0,705",https://pt.wikipedia.org/wiki/Turmalina_(Minas_Gerais)
Tupaciguara,Minas Gerais,614,25470 hab.,"1826,028km²","13,9hab./km²","0,719",https://pt.wikipedia.org/wiki/Tupaciguara
Três Marias,Minas Gerais,270,31687 hab.,"2675,153km²","11,8hab./km²","0,752",https://pt.wikipedia.org/wiki/Tr%C3%AAs_Marias_(Minas_Gerais)
Turvolândia,Minas Gerais,365,4658 hab.,"221,284km²",21hab./km²,"0,696",https://pt.wikipedia.org/wiki/Turvol%C3%A2ndia
Ubá,Minas Gerais,290,103365 hab.,"407,452km²","253,7hab./km²","0,724",https://pt.wikipedia.org/wiki/Ub%C3%A1
Três Corações,Minas Gerais,287,78079 hab.,"828,038km²","94,3hab./km²","0,744",https://pt.wikipedia.org/wiki/Tr%C3%AAs_Cora%C3%A7%C3%B5es
Tombos,Minas Gerais,370,8201 hab.,"285,124km²","28,8hab./km²","0,718",https://pt.wikipedia.org/wiki/Tombos
Tumiritinga,Minas Gerais,381,6732 hab.,"500,073km²","13,5hab./km²","0,626",https://pt.wikipedia.org/wiki/Tumiritinga
Três Pontas,Minas Gerais,297,57127 hab.,"689,794km²","82,8hab./km²","0,731",https://pt.wikipedia.org/wiki/Tr%C3%AAs_Pontas
Tapira,Minas Gerais,400,4832 hab.,"1180,229km²","4,1hab./km²","0,78",https://pt.wikipedia.org/wiki/Tapira_(Minas_Gerais)
Tapiraí,Minas Gerais,273,1690 hab.,"407,920km²","4,1hab./km²","0,739",https://pt.wikipedia.org/wiki/Tapira%C3%AD_(Minas_Gerais)
Sobrália,Minas Gerais,297,5553 hab.,"206,787km²","26,9hab./km²","0,631",https://pt.wikipedia.org/wiki/Sobr%C3%A1lia
Tarumirim,Minas Gerais,291,14326 hab.,"731,753km²","19,6hab./km²","0,633",https://pt.wikipedia.org/wiki/Tarumirim
Taquaraçu de Minas,Minas Gerais,"59,4",4224 hab.,"329,287km²","12,8hab./km²","0,651",https://pt.wikipedia.org/wiki/Taquara%C3%A7u_de_Minas
Taiobeiras,Minas Gerais,683,33040 hab.,"1194,230km²","27,7hab./km²","0,699",https://pt.wikipedia.org/wiki/Taiobeiras
Taparuba,Minas Gerais,362,3137 hab.,"193,081km²","16,2hab./km²","0,7",https://pt.wikipedia.org/wiki/Taparuba
Tabuleiro,Minas Gerais,274,4076 hab.,"211,382km²","19,3hab./km²","0,724",https://pt.wikipedia.org/wiki/Tabuleiro
Soledade de Minas,Minas Gerais,391,5613 hab.,"196,866km²","28,5hab./km²","0,697",https://pt.wikipedia.org/wiki/Soledade_de_Minas
Simonésia,Minas Gerais,,19421 hab.,"487,850km²","39,8hab./km²","0,679",https://pt.wikipedia.org/wiki/Simon%C3%A9sia
