Name,State,Distance to the Capital (Km),Total Population,Total Area,Density,HDI,URL
Angra dos Reis,Rio de Janeiro,157,179120 hab.,"813,420km²","220,2hab./km²","0,724",https://pt.wikipedia.org/wiki/Angra_dos_Reis
Volta Redonda,Rio de Janeiro,127,261584 hab.,"182,105km²","1436,4hab./km²","0,771",https://pt.wikipedia.org/wiki/Volta_Redonda
Vassouras,Rio de Janeiro,111,33976 hab.,"536,073km²","63,4hab./km²","0,714",https://pt.wikipedia.org/wiki/Vassouras
Varre-Sai,Rio de Janeiro,363,11208 hab.,"201,938km²","55,5hab./km²","0,659",https://pt.wikipedia.org/wiki/Varre-Sai
Valença,Rio de Janeiro,148,68088 hab.,"1300,767km²","52,3hab./km²","0,738",https://pt.wikipedia.org/wiki/Valen%C3%A7a_(Rio_de_Janeiro)
Três Rios,Rio de Janeiro,125,82468 hab.,"322,843km²","255,4hab./km²","0,725",https://pt.wikipedia.org/wiki/Tr%C3%AAs_Rios
Trajano de Moraes,Rio de Janeiro,222,"10,302 hab.","591,151km²",0hab./km²,"0,667",https://pt.wikipedia.org/wiki/Trajano_de_Moraes
Teresópolis,Rio de Janeiro,94,165123 hab.,"770,601km²","214,3hab./km²","0,730",https://pt.wikipedia.org/wiki/Teres%C3%B3polis
Tanguá,Rio de Janeiro,65,31086 hab.,"143,007km²","217,4hab./km²","0,654",https://pt.wikipedia.org/wiki/Tangu%C3%A1
Sumidouro,Rio de Janeiro,174,15206 hab.,"413,407km²","36,8hab./km²","0,611",https://pt.wikipedia.org/wiki/Sumidouro_(Rio_de_Janeiro)
Silva Jardim,Rio de Janeiro,121,21352 hab.,"937,755km²","22,8hab./km²","0,731",https://pt.wikipedia.org/wiki/Silva_Jardim
Seropédica,Rio de Janeiro,75,80596 hab.,"283,634km²","284,2hab./km²","0,722",https://pt.wikipedia.org/wiki/Serop%C3%A9dica
Saquarema,Rio de Janeiro,96,89559 hab.,"352,130km²","254,3hab./km²","0,709",https://pt.wikipedia.org/wiki/Saquarema
Sapucaia,Rio de Janeiro,150,"17,729 hab.","540,673km²",0hab./km²,"0,675",https://pt.wikipedia.org/wiki/Sapucaia_(Rio_de_Janeiro)
