Name,State,Distance to the Capital (Km),Total Population,Total Area,Density,HDI,URL
Adamantina,São Paulo,582,35068 hab.,"411,781km²","85,2hab./km²","0,790",https://pt.wikipedia.org/wiki/Adamantina
Atibaia,São Paulo,67,158647 hab.,"478,521km²","331,5hab./km²","0,765",https://pt.wikipedia.org/wiki/Atibaia
Areiópolis,São Paulo,278,11186 hab.,"85,947km²","130,1hab./km²","0,695",https://pt.wikipedia.org/wiki/Arei%C3%B3polis
Areias,São Paulo,254,3886 hab.,"305,227km²","12,7hab./km²","0,723",https://pt.wikipedia.org/wiki/Areias_(S%C3%A3o_Paulo)
Arealva,São Paulo,388,8299 hab.,"506,465km²","16,4hab./km²","0,79",https://pt.wikipedia.org/wiki/Arealva
Arco-Íris,São Paulo,532,1856 hab.,"263,214km²","7,1hab./km²","0,708",https://pt.wikipedia.org/wiki/Arco-%C3%8Dris_(S%C3%A3o_Paulo)
Aspásia,São Paulo,624,1818 hab.,"69,373km²","26,2hab./km²","0,738",https://pt.wikipedia.org/wiki/Asp%C3%A1sia_(S%C3%A3o_Paulo)
Artur Nogueira,São Paulo,150,51456 hab.,"177,752km²","289,5hab./km²","0,796",https://pt.wikipedia.org/wiki/Artur_Nogueira
Ariranha,São Paulo,428,9365 hab.,"132,624km²","70,6hab./km²","0,769",https://pt.wikipedia.org/wiki/Ariranha_(S%C3%A3o_Paulo)
Arujá,São Paulo,41,86678 hab.,"96,167km²","901,3hab./km²","0,784",https://pt.wikipedia.org/wiki/Aruj%C3%A1
Arapeí,São Paulo,310,2469 hab.,"156,903km²","15,7hab./km²","0,716",https://pt.wikipedia.org/wiki/Arape%C3%AD
Araras,São Paulo,174,130866 hab.,"644,831km²","202,9hab./km²","0,781",https://pt.wikipedia.org/wiki/Araras_(S%C3%A3o_Paulo)
Assis,São Paulo,434,101409 hab.,"460,609km²","220,2hab./km²","0,805",https://pt.wikipedia.org/wiki/Assis_(S%C3%A3o_Paulo)
Arandu,São Paulo,274,7123 hab.,"286,328km²","24,9hab./km²","0,685",https://pt.wikipedia.org/wiki/Arandu
Araraquara,São Paulo,270,252318,"1003,625km²","243,48 hab./km²","0,815",https://pt.wikipedia.org/wiki/Araraquara
Zacarias,São Paulo,538,2692 hab.,"319,1km²","8,4hab./km²","0,777",https://pt.wikipedia.org/wiki/Zacarias_(S%C3%A3o_Paulo)
Votuporanga,São Paulo,527,"100,159 hab.","424,1km²","0,2hab./km²","0,790",https://pt.wikipedia.org/wiki/Votuporanga
Votorantim,São Paulo,108,137119 hab.,"183,998km²","745,2hab./km²","0,798",https://pt.wikipedia.org/wiki/Votorantim
Vitória Brasil,São Paulo,604,1737 hab.,"49,7km²","34,9hab./km²","0,747",https://pt.wikipedia.org/wiki/Vit%C3%B3ria_Brasil
Vista Alegre do Alto,São Paulo,371,8989 hab.,"95,297km²","94,3hab./km²","0,816",https://pt.wikipedia.org/wiki/Vista_Alegre_do_Alto
Viradouro,São Paulo,416,"19,017 hab.","219,044km²","0,1hab./km²","0,739",https://pt.wikipedia.org/wiki/Viradouro
Vinhedo,São Paulo,75,76540 hab.,"80,950km²","945,5hab./km²","0,817",https://pt.wikipedia.org/wiki/Vinhedo
Várzea Paulista,São Paulo,45,119576 hab.,"34,627km²","3453,3hab./km²","0,795",https://pt.wikipedia.org/wiki/V%C3%A1rzea_Paulista
Vargem Grande Paulista,São Paulo,45,42946 hab.,"33,512km²","1281,5hab./km²","0,770",https://pt.wikipedia.org/wiki/Vargem_Grande_Paulista
Vargem Grande do Sul,São Paulo,235,"50,000 hab.","266,530km²","0,2hab./km²","0,802",https://pt.wikipedia.org/wiki/Vargem_Grande_do_Sul
Vargem,São Paulo,97,10805 hab.,"142,595km²","75,8hab./km²","0,699",https://pt.wikipedia.org/wiki/Vargem_(S%C3%A3o_Paulo)
Valparaíso,São Paulo,563,24241 hab.,"857,661km²","28,3hab./km²","0,807",https://pt.wikipedia.org/wiki/Valpara%C3%ADso_(S%C3%A3o_Paulo)
Valinhos,São Paulo,82,"126,373 hab.","148,538km²","0,9hab./km²","0,819",https://pt.wikipedia.org/wiki/Valinhos
Valentim Gentil,São Paulo,536,11036 hab.,"149,7km²","73,7hab./km²","0,785",https://pt.wikipedia.org/wiki/Valentim_Gentil
Vera Cruz,São Paulo,430,10769 hab.,"247,854km²","43,4hab./km²","0,758",https://pt.wikipedia.org/wiki/Vera_Cruz_(S%C3%A3o_Paulo)
Ubarana,São Paulo,476,5365 hab.,"209,6km²","25,6hab./km²","0,752",https://pt.wikipedia.org/wiki/Ubarana
Urupês,São Paulo,470,13744 hab.,"323,7km²","42,5hab./km²","0,795",https://pt.wikipedia.org/wiki/Urup%C3%AAs
Uru,São Paulo,"418,9",1177 hab.,"147,581km²",8hab./km²,"0,739",https://pt.wikipedia.org/wiki/Uru_(S%C3%A3o_Paulo)
Urânia,São Paulo,610,8836 hab.,"208,9km²","42,3hab./km²","0,765",https://pt.wikipedia.org/wiki/Ur%C3%A2nia_(S%C3%A3o_Paulo)
União Paulista,São Paulo,"502,1",1603 hab.,"79,1km²","20,3hab./km²","0,777",https://pt.wikipedia.org/wiki/Uni%C3%A3o_Paulista
Uchoa,São Paulo,426,10394 hab.,"252,5km²","41,2hab./km²","0,75",https://pt.wikipedia.org/wiki/Uchoa
Ubirajara,São Paulo,400,4429 hab.,"283,326km²","15,6hab./km²","0,764",https://pt.wikipedia.org/wiki/Ubirajara
Ubatuba,São Paulo,223,92819 hab.,"708,105km²","131,1hab./km²","0,751",https://pt.wikipedia.org/wiki/Ubatuba
Turmalina,São Paulo,613,1696 hab.,"147,797km²","11,5hab./km²","0,782",https://pt.wikipedia.org/wiki/Turmalina_(S%C3%A3o_Paulo)
Turiúba,São Paulo,460,2013 hab.,"153,085km²","13,1hab./km²","0,8",https://pt.wikipedia.org/wiki/Turi%C3%BAba
Tupi Paulista,São Paulo,673,15404 hab.,"244,770km²","62,9hab./km²","0,769",https://pt.wikipedia.org/wiki/Tupi_Paulista
Tuiuti,São Paulo,100,6977 hab.,"126,465km²","55,2hab./km²","0,728",https://pt.wikipedia.org/wiki/Tuiuti_(S%C3%A3o_Paulo)
Três Fronteiras,São Paulo,621,5832 hab.,"151,594km²","38,5hab./km²","0,761",https://pt.wikipedia.org/wiki/Tr%C3%AAs_Fronteiras
Tremembé,São Paulo,133,51173 hab.,"191,094km²","267,8hab./km²","0,834",https://pt.wikipedia.org/wiki/Trememb%C3%A9
Trabiju,São Paulo,260,1445 hab.,"63,378km²","22,8hab./km²","0,755",https://pt.wikipedia.org/wiki/Trabiju
Torrinha,São Paulo,239,9935 hab.,"315,267km²","29,61 hab./km²","0,744",https://pt.wikipedia.org/wiki/Torrinha
Torre de Pedra,São Paulo,167,2422 hab.,"71,303km²",34hab./km²,"0,777",https://pt.wikipedia.org/wiki/Torre_de_Pedra
Timburi,São Paulo,364,2646 hab.,"197,220km²","13,4hab./km²","0,749",https://pt.wikipedia.org/wiki/Timburi
Tupã,São Paulo,514,75264 hab.,"628,51km²","119,72 hab./km²","0,771",https://pt.wikipedia.org/wiki/Tup%C3%A3_(S%C3%A3o_Paulo)
Tietê,São Paulo,121,37663 hab.,"404,396km²","93,1hab./km²","0,778",https://pt.wikipedia.org/wiki/Tiet%C3%AA
Terra Roxa,São Paulo,422,8505 hab.,"219,894km²","38,7hab./km²","0,749",https://pt.wikipedia.org/wiki/Terra_Roxa_(S%C3%A3o_Paulo)
Teodoro Sampaio,São Paulo,660,23273 hab.,"1556,670km²",15hab./km²,"0,741",https://pt.wikipedia.org/wiki/Teodoro_Sampaio_(S%C3%A3o_Paulo)
Tejupá,São Paulo,331,4809 hab.,"296,343km²","16,2hab./km²","0,668",https://pt.wikipedia.org/wiki/Tejup%C3%A1
Taubaté,São Paulo,130,321298 hab.,"625,003km²","514,1hab./km²","0,800",https://pt.wikipedia.org/wiki/Taubat%C3%A9
Tatuí,São Paulo,131,123942 hab.,"523,475km²","236,8hab./km²","0,794",https://pt.wikipedia.org/wiki/Tatu%C3%AD
Tarumã,São Paulo,460,15183 hab.,"303,503km²",50hab./km²,"0,753",https://pt.wikipedia.org/wiki/Tarum%C3%A3_(S%C3%A3o_Paulo)
Tarabai,São Paulo,573,7395 hab.,"201,385km²","36,7hab./km²","0,726",https://pt.wikipedia.org/wiki/Tarabai
Taquarivaí,São Paulo,280,5149 hab.,"232,963km²","22,1hab./km²","0,702",https://pt.wikipedia.org/wiki/Taquariva%C3%AD
Taquarituba,São Paulo,320,24350 hab.,"447,085km²","54,5hab./km²","0,741",https://pt.wikipedia.org/wiki/Taquarituba
Taquaritinga,São Paulo,333,56645 hab.,"594,224km²","95,3hab./km²","0,748",https://pt.wikipedia.org/wiki/Taquaritinga
Taquaral,São Paulo,360,2726 hab.,"53,208km²","51,2hab./km²","0,765",https://pt.wikipedia.org/wiki/Taquaral
Tapiratiba,São Paulo,270,"12,950 hab.","220,575km²","0,1hab./km²","0,792",https://pt.wikipedia.org/wiki/Tapiratiba
Tapiraí,São Paulo,135,7850 hab.,"755,100km²","10,4hab./km²","0,681",https://pt.wikipedia.org/wiki/Tapira%C3%AD_(S%C3%A3o_Paulo)
Tanabi,São Paulo,477,25265 hab.,"745,8km²","33,9hab./km²","0,792",https://pt.wikipedia.org/wiki/Tanabi
Tambaú,São Paulo,270,23255 hab.,"561,788km²","41,4hab./km²","0,731",https://pt.wikipedia.org/wiki/Tamba%C3%BA
Taiúva,São Paulo,364,6548 hab.,"132,157km²","49,5hab./km²","0,789",https://pt.wikipedia.org/wiki/Tai%C3%BAva
Taiaçu,São Paulo,372,6320 hab.,"106,932km²","59,1hab./km²","0,751",https://pt.wikipedia.org/wiki/Taia%C3%A7u
Taguaí,São Paulo,350,12669 hab.,"145,800km²","86,9hab./km²","0,812",https://pt.wikipedia.org/wiki/Tagua%C3%AD
Taciba,São Paulo,541,6260 hab.,"608,310km²","10,3hab./km²","0,723",https://pt.wikipedia.org/wiki/Taciba
Taboão da Serra,São Paulo,,285570 hab.,"20,478km²","13945,2hab./km²","0,769",https://pt.wikipedia.org/wiki/Tabo%C3%A3o_da_Serra
Tabatinga,São Paulo,292,15881 hab.,"366,456km²","43,3hab./km²","0,704",https://pt.wikipedia.org/wiki/Tabatinga_(S%C3%A3o_Paulo)
Tabapuã,São Paulo,413,12103 hab.,"345,6km²",35hab./km²,"0,771",https://pt.wikipedia.org/wiki/Tabapu%C3%A3
Suzano,São Paulo,34,307364 hab.,"206,236km²","1490,4hab./km²","0,765",https://pt.wikipedia.org/wiki/Suzano
Suzanápolis,São Paulo,641,3383 hab.,"327,889km²","10,3hab./km²","0,743",https://pt.wikipedia.org/wiki/Suzan%C3%A1polis
Sumaré,São Paulo,126,279545 hab.,"153,465km²","1821,6hab./km²","0,762",https://pt.wikipedia.org/wiki/Sumar%C3%A9
Sud Mennucci,São Paulo,627,7708 hab.,"590,682km²",13hab./km²,"0,779",https://pt.wikipedia.org/wiki/Sud_Mennucci_(S%C3%A3o_Paulo)
Socorro,São Paulo,135,41352 hab.,"448,074km²","92,3hab./km²","0,729",https://pt.wikipedia.org/wiki/Socorro_(munic%C3%ADpio)
Silveiras,São Paulo,231,6302 hab.,"414,782km²","15,2hab./km²","0,721",https://pt.wikipedia.org/wiki/Silveiras_(S%C3%A3o_Paulo)
Severínia,São Paulo,431,14576 hab.,"140,4km²","103,8hab./km²","0,715",https://pt.wikipedia.org/wiki/Sever%C3%ADnia
Sete Barras,São Paulo,200,"12,730 hab.","1062,699km²",0hab./km²,"0,673",https://pt.wikipedia.org/wiki/Sete_Barras
Sorocaba,São Paulo,87,723682 hab.,"450,382km²","1606,8hab./km²","0,798",https://pt.wikipedia.org/wiki/Sorocaba
Sertãozinho,São Paulo,335,131600 hab.,"403,089km²","326,5hab./km²","0,798",https://pt.wikipedia.org/wiki/Sert%C3%A3ozinho_(S%C3%A3o_Paulo)
Serrana,São Paulo,315,45408 hab.,"125,744km²","361,1hab./km²","0,729",https://pt.wikipedia.org/wiki/Serrana
Serra Negra,São Paulo,142,29894 hab.,"203,734km²","146,7hab./km²","0,767",https://pt.wikipedia.org/wiki/Serra_Negra_(S%C3%A3o_Paulo)
Serra Azul,São Paulo,303,11259 hab.,"283,144km²","39,8hab./km²","0,686",https://pt.wikipedia.org/wiki/Serra_Azul
Sebastianópolis do Sul,São Paulo,504,3031 hab.,"162,9km²","18,6hab./km²","0,769",https://pt.wikipedia.org/wiki/Sebastian%C3%B3polis_do_Sul
Sarutaiá,São Paulo,326,3622 hab.,"141,511km²","25,6hab./km²","0,719",https://pt.wikipedia.org/wiki/Sarutai%C3%A1
Sarapuí,São Paulo,150,10390 hab.,"354,463km²","29,3hab./km²","0,756",https://pt.wikipedia.org/wiki/Sarapu%C3%AD
São Vicente,São Paulo,70,329911 hab.,"148,151km²","2226,9hab./km²","0,768",https://pt.wikipedia.org/wiki/S%C3%A3o_Vicente_(S%C3%A3o_Paulo)
São Simão,São Paulo,300,14350 hab.,"617,964km²","23,2hab./km²","0,766",https://pt.wikipedia.org/wiki/S%C3%A3o_Sim%C3%A3o_(S%C3%A3o_Paulo)
São Sebastião da Grama,São Paulo,270,12100 hab.,"252,181km²",48hab./km²,"0,778",https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_da_Grama
São Sebastião,São Paulo,197,81595 hab.,"402,395km²","202,8hab./km²","0,772",https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_(S%C3%A3o_Paulo)
São Roque,São Paulo,62,92060 hab.,"307,553km²","299,3hab./km²","0,802",https://pt.wikipedia.org/wiki/S%C3%A3o_Roque_(S%C3%A3o_Paulo)
São Pedro do Turvo,São Paulo,390,7214 hab.,"731,221km²","9,9hab./km²","0,756",https://pt.wikipedia.org/wiki/S%C3%A3o_Pedro_do_Turvo
São Pedro,São Paulo,191,33966 hab.,"609,091km²","55,8hab./km²","0,785",https://pt.wikipedia.org/wiki/S%C3%A3o_Pedro_(S%C3%A3o_Paulo)
São Miguel Arcanjo,São Paulo,180,32039 hab.,"930,012km²","34,5hab./km²","0,770",https://pt.wikipedia.org/wiki/S%C3%A3o_Miguel_Arcanjo_(S%C3%A3o_Paulo)
São Manuel,São Paulo,268,42200 hab.,"650,734km²","58,92 hab./km²",0778,https://pt.wikipedia.org/wiki/S%C3%A3o_Manuel
São Luiz do Paraitinga,São Paulo,171,10693 hab.,"617,315km²","17,3hab./km²","0,754",https://pt.wikipedia.org/wiki/S%C3%A3o_Luiz_do_Paraitinga
São Lourenço da Serra,São Paulo,52,15978 hab.,"186,456km²","85,7hab./km²","0,728",https://pt.wikipedia.org/wiki/S%C3%A3o_Louren%C3%A7o_da_Serra
São José dos Campos,São Paulo,86,697428 hab.,"1099,409km²","634,4hab./km²","0,807",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_dos_Campos
São José do Rio Preto,São Paulo,445,501597 hab.,"431,944km²","1161,3hab./km²","0,797",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Rio_Preto
São Paulo,São Paulo,1015,11451999 hab.,"1521,202km²","7528,3hab./km²","0,805",https://pt.wikipedia.org/wiki/S%C3%A3o_Paulo
São José do Barreiro,São Paulo,268,4147 hab.,"570,685km²","7,3hab./km²","0,727",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Barreiro
São José da Bela Vista,São Paulo,360,8885 hab.,"276,964km²","32,1hab./km²","0,753",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_da_Bela_Vista
São Joaquim da Barra,São Paulo,396,52737 hab.,"412,271km²","127,9hab./km²","0,762",https://pt.wikipedia.org/wiki/S%C3%A3o_Joaquim_da_Barra
São João do Pau-d'Alho,São Paulo,695,2132 hab.,"117,665km²","18,1hab./km²","0,754",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_do_Pau-d%27Alho
São José do Rio Pardo,São Paulo,257,54763 hab.,"419,017km²","130,7hab./km²","0,815",https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Rio_Pardo
São João das Duas Pontes,São Paulo,,2566 hab.,"129,3km²","19,8hab./km²","0,754",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_das_Duas_Pontes
São João de Iracema,São Paulo,570,2083 hab.,"178,6km²","11,7hab./km²","0,761",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_de_Iracema
Santópolis do Aguapeí,São Paulo,521,4817 hab.,"128,026km²","37,6hab./km²","0,774",https://pt.wikipedia.org/wiki/Sant%C3%B3polis_do_Aguape%C3%AD
São João da Boa Vista,São Paulo,218,"92,547 hab.","516,399km²","0,2hab./km²","0,797",https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_da_Boa_Vista
São Francisco,São Paulo,608,2793 hab.,"75,6km²","36,9hab./km²","0,758",https://pt.wikipedia.org/wiki/S%C3%A3o_Francisco_(S%C3%A3o_Paulo)
São Bento do Sapucaí,São Paulo,209,11674 hab.,"252,579km²","46,2hab./km²","0,776",https://pt.wikipedia.org/wiki/S%C3%A3o_Bento_do_Sapuca%C3%AD
São Caetano do Sul,São Paulo,13,161127 hab.,"15,331km²","10509,9hab./km²","0,862",https://pt.wikipedia.org/wiki/S%C3%A3o_Caetano_do_Sul
Santos,São Paulo,77,418608 hab.,"280,674km²","1491,4hab./km²","0,840",https://pt.wikipedia.org/wiki/Santos
São Bernardo do Campo,São Paulo,22,810729 hab.,"409,532km²","1979,6hab./km²","0,805",https://pt.wikipedia.org/wiki/S%C3%A3o_Bernardo_do_Campo
São Carlos,São Paulo,231,265294 hab.,"1136,907km²","233,3hab./km²","0,805",https://pt.wikipedia.org/wiki/S%C3%A3o_Carlos_(S%C3%A3o_Paulo)
Santo Expedito,São Paulo,600,3035 hab.,"93,913km²","32,3hab./km²","0,785",https://pt.wikipedia.org/wiki/Santo_Expedito_(S%C3%A3o_Paulo)
Santo Antônio do Pinhal,São Paulo,173,7133 hab.,"133,008km²","53,6hab./km²","0,706",https://pt.wikipedia.org/wiki/Santo_Ant%C3%B4nio_do_Pinhal
Santo Antônio do Jardim,São Paulo,200,5943 hab.,"109,956km²",54hab./km²,,https://pt.wikipedia.org/wiki/Santo_Ant%C3%B4nio_do_Jardim
Santo Antônio do Aracanguá,São Paulo,538,7627 hab.,"1306,082km²","5,8hab./km²","0,754",https://pt.wikipedia.org/wiki/Santo_Ant%C3%B4nio_do_Aracangu%C3%A1
Santo Antônio de Posse,São Paulo,149,23244 hab.,"154,113km²","150,8hab./km²","0,79",https://pt.wikipedia.org/wiki/Santo_Ant%C3%B4nio_de_Posse
Santo Antônio da Alegria,São Paulo,393,6304 hab.,"310,291km²","20,3hab./km²","0,702",https://pt.wikipedia.org/wiki/Santo_Ant%C3%B4nio_da_Alegria
Santo Anastácio,São Paulo,600,20475 hab.,"552,876km²",37hab./km²,"0,753",https://pt.wikipedia.org/wiki/Santo_Anast%C3%A1cio_(S%C3%A3o_Paulo)
Santana de Parnaíba,São Paulo,42,145073 hab.,"179,949km²","806,2hab./km²","0,814",https://pt.wikipedia.org/wiki/Santana_de_Parna%C3%ADba
Santana da Ponte Pensa,São Paulo,629,1467 hab.,"129,888km²","11,3hab./km²","0,773",https://pt.wikipedia.org/wiki/Santana_da_Ponte_Pensa
Santa Salete,São Paulo,602,1552 hab.,"79,192km²","19,6hab./km²","0,772",https://pt.wikipedia.org/wiki/Santa_Salete
Santa Rosa de Viterbo,São Paulo,310,25720 hab.,"289,669km²","88,8hab./km²","0,770",https://pt.wikipedia.org/wiki/Santa_Rosa_de_Viterbo_(S%C3%A3o_Paulo)
Santa Rita d'Oeste,São Paulo,645,2733 hab.,"209,800km²",13hab./km²,"0,761",https://pt.wikipedia.org/wiki/Santa_Rita_d%27Oeste
Santo André,São Paulo,22,748919 hab.,"175,782km²","4260,5hab./km²","0,815",https://pt.wikipedia.org/wiki/Santo_Andr%C3%A9_(S%C3%A3o_Paulo)
Santa Rita do Passa Quatro,São Paulo,253,27641 hab.,"754,141km²","36,7hab./km²","0,775",https://pt.wikipedia.org/wiki/Santa_Rita_do_Passa_Quatro
Santa Mercedes,São Paulo,686,2945 hab.,"166,753km²","17,7hab./km²","0,741",https://pt.wikipedia.org/wiki/Santa_Mercedes
Santa Maria da Serra,São Paulo,218,6173 hab.,"252,621km²","24,4hab./km²","0,68",https://pt.wikipedia.org/wiki/Santa_Maria_da_Serra
Santa Lúcia,São Paulo,,8723 hab.,"152,314km²","57,3hab./km²","0,782",https://pt.wikipedia.org/wiki/Santa_L%C3%BAcia_(S%C3%A3o_Paulo)
Santa Gertrudes,São Paulo,167,30132 hab.,"97,694km²","308,4hab./km²","0,798",https://pt.wikipedia.org/wiki/Santa_Gertrudes_(S%C3%A3o_Paulo)
Santa Isabel,São Paulo,57,57966 hab.,"363,332km²","159,5hab./km²","0,738",https://pt.wikipedia.org/wiki/Santa_Isabel_(S%C3%A3o_Paulo)
Santa Fé do Sul,São Paulo,626,34794 hab.,"208,245km²","167,1hab./km²","0,784",https://pt.wikipedia.org/wiki/Santa_F%C3%A9_do_Sul
